landmark_name,landmark_address
(주)교보문고,서울특별시 종로구 종로 1(종로1가)
119특수구조단뚝섬수난구조대,서울특별시 광진구 강변북로 26
150년수령느티나무,서울특별시 양천구 목4동 760-28
159안국,서울특별시 종로구 안국동 159
1m아트홀,서울특별시 종로구 동숭동 1-45
2001아울렛,서울특별시 구로구 중앙로 1길 36 2001아울렛
3.1독립선언기념탑,서울특별시 서대문구 현저동 101
4.19민주혁명기념도서관,서울특별시 종로구 새문안로 17 4.19기념도서관
4.19학생혁명기념탑,서울특별시 강북구 수유동 산9-1
63스퀘어,서울특별시 영등포구 여의도동 60
63시티,서울특별시 영등포구 63로 50 한화금융센터_63
63아트,서울특별시 영등포구 여의도동 60
aA디자인뮤지엄,서울특별시 마포구 서교동 408-11
AHC스파,서울특별시 강남구 도산대로 237(신사동)
aT센터(에이티센터),서울특별시 서초구 양재동 232
CGV건대입구,서울특별시 광진구 아차산로30길 26
CRCollective,서울특별시 마포구 연남동 504-29 일심빌딩 2층
DDP패션몰,서울특별시 중구 신당동 251-7
DMC래미안e편한세상1단지,서울특별시 서대문구 수색로 100
DMC래미안e편한세상2단지,서울특별시 서대문구 수색로 100
DMC래미안e편한세상3단지,서울특별시 서대문구 수색로 100
DMC래미안클라시스,서울특별시 서대문구 증가로 191
DMC롯데캐슬더퍼스트,서울특별시 은평구 수색동 327-14
DMC센트럴아이파크,서울특별시 서대문구 증가로 150
DMC아이파크,서울특별시 서대문구 거북골로14길 32
DMC에코자이,서울특별시 서대문구 거북골로 84
DMC우방아파트,서울특별시 은평구 증산동 244
DMC청구아파트,서울특별시 은평구 수색동 413
DMC홍보관,서울특별시 마포구 월드컵북로 366(상암동)
D뮤지엄,서울특별시 용산구 한남동 50-1 Replace한남 F동
e편한세상송파파크센트럴,서울특별시 송파구 오금로 551
e편한세상신촌1단지,서울특별시 서대문구 북아현로1가길 20
e편한세상신촌2단지,서울특별시 서대문구 북아현로1길 17
e편한세상신촌3단지,서울특별시 서대문구 북아현로 29
Farm8팜아카데미,서울특별시 동작구 상도1동 702-1
G밸리패션지원센터,서울특별시 금천구 디지털로10길 9(가산동) 현대시티아울렛 가산점
HMM,서울특별시 종로구 연지동 1-7
IFC몰,서울특별시 영등포구 여의도동 23
JCC아트센터,서울특별시 종로구 혜화동 53-21
JCC크리에이티브센터,서울특별시 종로구 창경궁로35길 45
JTBC,서울특별시 마포구 상암산로 38
JW메리어트동대문스퀘어서울,서울특별시 종로구 청계천로 279
JW메리어트호텔서울,서울특별시 서초구 신반포로 176
K-Taekwonschool태권도체험,서울특별시 강동구 고덕로 96(암사동)
KAC한국공항공사_본사,서울특별시 강서구 과해동 676
KAIST서울캠퍼스,서울특별시 동대문구 청량리동 207-42
KBS,서울특별시 영등포구 여의도동 18
KBS스포츠월드,서울특별시 강서구 화곡동 1093-76
KBS아레나,서울특별시 강서구 화곡동 1093-76
KBS온,서울특별시 영등포구 여의공원로 13
KCDF갤러리,서울특별시 종로구 관훈동 182-2
KC대학교,서울특별시 강서구 화곡동 1123-39
KOCCA콘텐츠문화광장,서울특별시 동대문구 청량리동 206-9
KT&G상상마당,서울특별시 마포구 어울마당로 65 상상마당빌딩
K현대미술관,서울특별시 강남구 신사동 666-7
LG사이언스홀,서울특별시 영등포구 여의대로 128
LG아트센터,서울특별시 강남구 논현로 508(역삼동)
LG한강자이아파트,서울특별시 용산구 이촌로64길 15
MBCWORLD(견학홀),서울특별시 마포구 성암로 267(상암동)
mbc아카데미원격평생교육원,서울특별시 종로구 창경궁로35길 35
M컨템포러리,서울특별시 강남구 역삼동 602 1F
NC백화점[강서],서울특별시 강서구 등촌동 689
NC백화점[구로],서울특별시 구로구 구로동 573
NC백화점[불광],서울특별시 은평구 대조동 240
NC백화점[송파],서울특별시 송파구 문정동 634
N서울타워,서울특별시 용산구 남산공원길 105
PLAYONEPIECE,서울특별시 마포구 와우산로 101
PMF자양스테이션,서울특별시 광진구 자양동 630-41
SH아트홀,서울특별시 종로구 동숭동 1-131
SJ쿤스트할레[문화공간],서울특별시 강남구 언주로148길 5(논현동)
SNKRS,서울특별시 마포구 와우산로 78
SPA1899동인비,서울특별시 강남구 영동대로 416(대치동)
tbs교통방송,서울특별시 마포구 매봉산로 31(상암동) S-PLEX CENTER
TheK호텔서울,서울특별시 서초구 양재동 202
UM갤러리,서울특별시 강남구 압구정로12길 25(신사동) 3층
W몰,서울특별시 금천구 디지털로 188
YTN,서울특별시 마포구 상암산로 76(상암동) YTN 뉴스퀘어
가든파이브,서울특별시 송파구 문정동 634
가락몰5관(씨푸드),서울특별시 송파구 양재대로 932
가락몰SAFF타워(업무동),서울특별시 송파구 양재대로 932
가락몰입구,서울특별시 송파구 가락동
가락삼익아파트,서울특별시 송파구 오금로32길 5
가락시장,서울특별시 송파구 가락동 600
가람어린이공원,서울특별시 은평구 불광동 448-11
가람화랑,서울특별시 종로구 관훈동 30-10
가로수길,서울특별시 강남구 신사동
가린열공원,서울특별시 구로구 개봉동
가산생활문화센터,서울특별시 금천구 가산동 142-45
가재울중앙공원,서울특별시 서대문구 북가좌동 480
가톨릭대학교성신교정도서관,서울특별시 종로구 혜화동 90-1
가톨릭대학교성의교정_성의회관,서울특별시 서초구 반포동 산38-2
가톨릭청소년회관,"서울특별시 종로구 대학로 156 동성중고교,카톨릭청소년회관"
가회동성당,서울특별시 종로구 가회동 30-3
가회민화박물관,서울특별시 종로구 북촌로12길 17 북촌로 52
간데메공원,서울특별시 동대문구 답십리동 471
간송옛집,서울특별시 도봉구 방학동 430
갈곡리어린이공원,서울특별시 은평구 갈현동436-51
갈현1단지e-편한세상아파트,서울특별시 은평구 구산동 547
갈현동현대아파트,서울특별시 은평구 구산동 382
감고당길,서울특별시 종로구 안국동
감로천생태공원,서울특별시 금천구 독산동 373
감리교신학대학교,서울특별시 서대문구 냉천동 31
강가햇살어린이놀이터,서울특별시 광진구 자양동
강남개포시장,서울특별시 강남구 개포2동 186-16
강남고속버스터미널(경부),서울특별시 서초구 신반포로 194
강남구립정다운도서관,서울특별시 강남구 학동로67길 11
강남구민체육관,서울특별시 강남구 개포동 1271
강남구보건소,"서울특별시 강남구 선릉로 668 강남구보건소,강남구립국제교육원"
강남구청,서울특별시 강남구 학동로 426 강남구청
강남구청역,서울특별시 강남구 학동로 346
강남논현데이케어센터,서울특별시 강남구 논현로136길 5-8
강남도서관,서울특별시 강남구 삼성동 28
강남문화원,서울특별시 강남구 테헤란로8길 36(역삼동)
